work;separation;partner;marriage;children
17;21;;25;25
19;23;;23;23
19;19;;22;22
20;20;19;21;21
17;23;;26;27
22;22;;22;30
20;20;;;
21;17;17;;17
18;18;;20;20
17;20;23;26;24
18;18;21;22;22
;;;;
21;23;23;23;23
22;16;;29;29
17;17;;17;17
18;18;;20;22
;;;;
18;18;;20;
17;17;;23;23
17;18;;18;21
19;17;17;19;19
19;18;;18;20
22;;;17;19
17;16;16;18;25
23;24;33;24;25
22;20;;23;27
23;17;22;23;
16;17;;17;19
;13;;17;17
25;25;25;25;26
22;26;23;;23
22;24;24;;24
18;18;24;;26
19;;;;
19;19;;20;22
22;22;;23;31
18;21;;21;21
23;23;;23;24
17;18;;26;
20;27;27;27;28
17;18;19;21;20
;15;;24;25
16;19;28;30;37
19;;;;
19;;;;
;;;;
;12;;;
16;16;;30;31
14;16;;22;25
17;22;;22;23
17;17;;22;24
18;19;;20;21
22;18;;26;27
22;17;;24;25
19;17;;;
17;30;;;
18;18;;22;23
19;31;;19;24
26;30;30;28;28
20;20;;20;22
22;22;;22;23
18;19;;23;24
19;20;;20;20
20;;;;
20;21;;21;23
17;;;;
18;;;;
25;24;;24;
;17;;;
;21;;24;28
17;17;21;21;22
18;;;26;18
17;;;19;20
24;;;24;26
;;;;
17;23;;24;25
;;;;17
22;;;22;23
17;17;;17;25
25;47;;;
18;27;;27;29
19;33;;;23
18;;;;35
21;;;21;19
20;;;;
;18;20;21;21
;;;17;
;;;20;21
17;15;;30;31
22;17;;;
;18;;18;19
18;25;;23;24
18;31;;23;24
;;;;
18;24;;24;25
22;;;23;24
17;23;;23;25
20;20;;21;21
18;25;;25;31
;;;27;28
;;;24;24
17;26;;;
20;;;;
30;;;41;42
18;30;;;28
;;;29;30
21;22;;24;25
23;17;23;29;25
27;24;;24;24
22;17;;24;25
24;25;24;25;25
26;28;;28;30
20;25;;23;24
;16;;18;19
18;;;;
14;19;;;
;21;21;22;
20;24;;24;25
19;;;;
17;19;;19;20
;;;;
17;15;19;19;21
19;21;;21;22
19;21;21;21;22
21;22;;21;22
20;20;;25;26
18;25;;25;26
20;20;;18;19
17;15;;20;22
18;19;19;19;20
18;19;;19;20
15;19;;19;20
18;;19;;18
16;16;;23;24
23;28;;26;27
15;21;;18;19
17;17;;21;22
18;17;;;23
17;19;19;19;21
22;21;;21;
16;21;;25;26
23;17;;;
16;;19;19;21
;21;;21;24
19;17;;23;26
19;;;;22
20;24;24;21;16
19;30;30;22;25
22;24;;;23
25;27;24;24;25
21;21;23;24;
21;17;;;30
26;26;28;28;
20;20;;;38
24;24;;24;26
20;22;;22;22
20;30;;25;25
22;20;;;
16;18;;18;19
23;27;;;
;;;21;
24;18;;22;24
20;;;34;
18;19;19;19;21
16;;27;;
19;19;;;24
21;16;;22;23
20;28;;21;22
17;18;;18;19
22;24;;24;25
20;25;;25;26
;;;20;21
20;24;;24;31
21;24;;24;25
21;;;;
19;21;21;23;26
20;19;;33;33
;;;;
19;25;;23;25
;22;;;
;20;;20;20
22;17;;25;
22;;;;
17;;;;
21;21;;19;22
;;;;
;;;;
17;;;;
;;;;
;18;;;
22;24;;24;25
22;30;;30;
21;27;;;
;22;;22;22
12;19;;31;32
15;;;25;25
23;48;;;
17;17;;27;28
20;26;;26;27
17;;;24;25
23;23;;23;25
20;25;;25;26
21;;;20;21
20;22;;22;24
;;;;
17;21;23;23;24
17;17;;21;22
21;18;22;23;42
18;22;19;;20
22;18;;18;19
18;17;18;18;19
22;22;;23;24
24;20;;;21
18;18;;22;23
20;20;;20;21
30;16;;22;23
20;17;21;21;22
16;;22;22;24
18;;;;
;;21;21;22
;;;;34
18;18;18;18;18
23;;;23;23
22;;;;
22;17;;33;33
;17;;22;23
21;18;;24;
16;18;;23;26
14;16;;21;22
17;16;23;23;24
14;17;;20;22
22;17;;25;
21;17;;;
23;13;;23;25
20;17;;23;30
19;20;;26;26
17;21;;31;32
21;18;;29;30
16;19;18;18;21
;;;22;22
20;18;21;23;24
19;;;;
17;20;;21;21
20;21;;21;22
22;;;22;22
19;19;23;24;25
17;15;20;25;
30;26;;;
16;14;18;16;18
22;22;;22;24
;;;;
;;;17;18
17;23;;24;33
20;;;24;29
19;;;;18
20;27;;27;31
15;;19;42;19
20;21;;21;27
;23;;23;25
17;16;17;17;22
18;19;;20;22
19;;;26;23
20;18;;20;22
;;;;
;20;;20;33
;;;20;23
18;17;27;18;19
21;19;;24;24
17;18;;22;23
;20;;;23
19;17;;21;
24;16;;25;27
13;17;;17;18
18;;25;25;26
19;;;;
17;34;;22;23
11;18;;25;
18;20;;22;24
20;21;;24;26
20;26;;26;27
19;27;;27;28
19;;;;
20;22;;;24
25;26;;26;27
18;;;23;25
